file,handle,title,reading,background,background_hex,ink_hex,typeface,typeface_family,orientation,variant_skus
PRV-01-SHU-FDET.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,縦書き,PRV-01-SHU-S-FDET PRV-01-SHU-M-FDET PRV-01-SHU-L-FDET
PRV-01-SHU-FDEY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,横書き,PRV-01-SHU-S-FDEY PRV-01-SHU-M-FDEY PRV-01-SHU-L-FDEY
PRV-01-SHU-GOTT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,縦書き,PRV-01-SHU-S-GOTT PRV-01-SHU-M-GOTT PRV-01-SHU-L-GOTT
PRV-01-SHU-GOTY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,横書き,PRV-01-SHU-S-GOTY PRV-01-SHU-M-GOTY PRV-01-SHU-L-GOTY
PRV-02-KNR-MINT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,縦書き,PRV-02-KNR-S-MINT PRV-02-KNR-M-MINT PRV-02-KNR-L-MINT
PRV-02-KNR-MINY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,横書き,PRV-02-KNR-S-MINY PRV-02-KNR-M-MINY PRV-02-KNR-L-MINY
PRV-02-KNR-FDET.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,縦書き,PRV-02-KNR-S-FDET PRV-02-KNR-M-FDET PRV-02-KNR-L-FDET
PRV-02-KNR-FDEY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,横書き,PRV-02-KNR-S-FDEY PRV-02-KNR-M-FDEY PRV-02-KNR-L-FDEY
PRV-02-KNR-GOTT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,縦書き,PRV-02-KNR-S-GOTT PRV-02-KNR-M-GOTT PRV-02-KNR-L-GOTT
PRV-02-KNR-GOTY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,横書き,PRV-02-KNR-S-GOTY PRV-02-KNR-M-GOTY PRV-02-KNR-L-GOTY
PRV-02-AI-MINT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,縦書き,PRV-02-AI-S-MINT PRV-02-AI-M-MINT PRV-02-AI-L-MINT
PRV-02-AI-MINY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,横書き,PRV-02-AI-S-MINY PRV-02-AI-M-MINY PRV-02-AI-L-MINY
PRV-02-AI-FDET.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,縦書き,PRV-02-AI-S-FDET PRV-02-AI-M-FDET PRV-02-AI-L-FDET
PRV-02-AI-FDEY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,横書き,PRV-02-AI-S-FDEY PRV-02-AI-M-FDEY PRV-02-AI-L-FDEY
PRV-02-AI-GOTT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,縦書き,PRV-02-AI-S-GOTT PRV-02-AI-M-GOTT PRV-02-AI-L-GOTT
PRV-02-AI-GOTY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,横書き,PRV-02-AI-S-GOTY PRV-02-AI-M-GOTY PRV-02-AI-L-GOTY
PRV-02-SUMI-MINT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,墨,#22201e,#efe9dc,明朝,Shippori Mincho,縦書き,PRV-02-SUMI-S-MINT PRV-02-SUMI-M-MINT PRV-02-SUMI-L-MINT
PRV-02-SUMI-MINY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,墨,#22201e,#efe9dc,明朝,Shippori Mincho,横書き,PRV-02-SUMI-S-MINY PRV-02-SUMI-M-MINY PRV-02-SUMI-L-MINY
PRV-02-SUMI-FDET.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,縦書き,PRV-02-SUMI-S-FDET PRV-02-SUMI-M-FDET PRV-02-SUMI-L-FDET
PRV-02-SUMI-FDEY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,横書き,PRV-02-SUMI-S-FDEY PRV-02-SUMI-M-FDEY PRV-02-SUMI-L-FDEY
PRV-02-SUMI-GOTT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,縦書き,PRV-02-SUMI-S-GOTT PRV-02-SUMI-M-GOTT PRV-02-SUMI-L-GOTT
PRV-02-SUMI-GOTY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,横書き,PRV-02-SUMI-S-GOTY PRV-02-SUMI-M-GOTY PRV-02-SUMI-L-GOTY
PRV-02-SHU-MINT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,縦書き,PRV-02-SHU-S-MINT PRV-02-SHU-M-MINT PRV-02-SHU-L-MINT
PRV-02-SHU-MINY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,横書き,PRV-02-SHU-S-MINY PRV-02-SHU-M-MINY PRV-02-SHU-L-MINY
